path text_newlines text_wcwords text_chars text_bytes
/nird/home/nikolare/hplt/public/two/annotated/cc19/sag_Latn/1.jsonl.zst  713696 2457078 11101403 11380786
/nird/home/nikolare/hplt/public/two/annotated/wide12/lin_Latn/1.jsonl.zst 1840972 6738403 44404559 45310301
/nird/home/nikolare/hplt/public/two/annotated/cc19/awa_Deva/1.jsonl.zst 1341638 4400757 24567455 28553771
/nird/home/nikolare/hplt/public/two/annotated/wide12/lij_Latn/1.jsonl.zst 2667221 11853236 81091191 90174946
/nird/home/nikolare/hplt/public/two/annotated/wide12/fij_Latn/1.jsonl.zst  368041 6311894 93311303 93486194
/nird/home/nikolare/hplt/public/two/annotated/cc19/bam_Latn/1.jsonl.zst   97626  341973 3234799 3422322
/nird/home/nikolare/hplt/public/two/annotated/cc19/lug_Latn/1.jsonl.zst   31444  227832 1591296 1619131
/nird/home/nikolare/hplt/public/two/annotated/cc19/kmb_Latn/1.jsonl.zst    7836   29483  158373  162668
/nird/home/nikolare/hplt/public/two/annotated/cc19/ltg_Latn/1.jsonl.zst  237866 1149371 7184280 7451445
/nird/home/nikolare/hplt/public/two/annotated/cc19/quy_Latn/1.jsonl.zst   51359  338241 2331029 2375506
/nird/home/nikolare/hplt/public/two/annotated/wide12/snd_Arab/1.jsonl.zst  435066 6277549 78301348 94854452
/nird/home/nikolare/hplt/public/two/annotated/wide12/tuk_Latn/1.jsonl.zst 1893512 10019482 105890822 108709867
/nird/home/nikolare/hplt/public/two/annotated/cc19/kas_Deva/1.jsonl.zst    5289   40078  236558  352145
/nird/home/nikolare/hplt/public/two/annotated/cc19/mlt_Latn/1.jsonl.zst 1299721 6310968 51404847 52638014
/nird/home/nikolare/hplt/public/two/annotated/cc19/kea_Latn/1.jsonl.zst    1634   13256   68350   72013
/nird/home/nikolare/hplt/public/two/annotated/cc19/taq_Latn/1.jsonl.zst 1685411 1863311 20202852 20518955
/nird/home/nikolare/hplt/public/two/annotated/cc19/kab_Latn/1.jsonl.zst  598040 2525414 18504950 18987524
/nird/home/nikolare/hplt/public/two/annotated/cc19/yue_Hant/1.jsonl.zst  473650  954761 10083472 19486371
/nird/home/nikolare/hplt/public/two/annotated/cc19/hat_Latn/1.jsonl.zst 1451848 7917851 47511700 49013726
/nird/home/nikolare/hplt/public/two/annotated/cc19/swh_Latn/1.jsonl.zst  525420 8137909 53271351 53684279
/nird/home/nikolare/hplt/public/two/annotated/cc19/lao_Laoo/1.jsonl.zst   68456  539339 7835370 20642538
/nird/home/nikolare/hplt/public/two/annotated/wide12/pbt_Arab/1.jsonl.zst  714068 14130681 67227113 115621247
/nird/home/nikolare/hplt/public/two/annotated/wide12/ltg_Latn/1.jsonl.zst 3154159 10604583 89023783 92412363
/nird/home/nikolare/hplt/public/two/annotated/cc19/som_Latn/1.jsonl.zst  441124 8721760 63940996 64264940
/nird/home/nikolare/hplt/public/two/annotated/cc19/fij_Latn/1.jsonl.zst   26112  249076 1377452 1392133
/nird/home/nikolare/hplt/public/two/annotated/cc19/kmr_Latn/1.jsonl.zst  115075 2162089 12363387 13707907
/nird/home/nikolare/hplt/public/two/annotated/cc19/sat_Olck/1.jsonl.zst    1962   28839  165142  351312
/nird/home/nikolare/hplt/public/two/annotated/cc19/kam_Latn/1.jsonl.zst   10496   63956  407793  410074
/nird/home/nikolare/hplt/public/two/annotated/cc19/bem_Latn/1.jsonl.zst  523350 1818655 8440958 8497590
/nird/home/nikolare/hplt/public/two/annotated/cc19/san_Deva/1.jsonl.zst  137428 1326997 10210662 25947435
/nird/home/nikolare/hplt/public/two/annotated/wide12/sag_Latn/1.jsonl.zst 2648200 10816095 98919126 99761538
/nird/home/nikolare/hplt/public/two/annotated/wide12/bak_Cyrl/1.jsonl.zst 2233350 10621198 63390102 96272291
/nird/home/nikolare/hplt/public/two/annotated/wide12/azb_Arab/1.jsonl.zst 1352838 10138156 63218905 111200615
/nird/home/nikolare/hplt/public/two/annotated/cc19/crh_Latn/1.jsonl.zst  269618 1676397 10593005 11377694
/nird/home/nikolare/hplt/public/two/annotated/cc19/bjn_Arab/1.jsonl.zst   10035   20586  167835  214696
/nird/home/nikolare/hplt/public/two/annotated/cc19/pap_Latn/1.jsonl.zst  548283 2940674 17094989 17373061
/nird/home/nikolare/hplt/public/two/annotated/wide12/mri_Latn/1.jsonl.zst 1630092 12151050 78116555 81081572
/nird/home/nikolare/hplt/public/two/annotated/cc19/gla_Latn/1.jsonl.zst  347328 2936436 18172210 18475987
/nird/home/nikolare/hplt/public/two/annotated/cc19/uig_Arab/1.jsonl.zst   71607 1418046 11076047 20317235
/nird/home/nikolare/hplt/public/two/annotated/cc19/bak_Cyrl/1.jsonl.zst  161005 1514932 10912766 18885651
/nird/home/nikolare/hplt/public/two/annotated/cc19/fur_Latn/1.jsonl.zst  901121 3819567 22898039 23690880
/nird/home/nikolare/hplt/public/two/annotated/cc19/tir_Ethi/1.jsonl.zst  319237 2129080 20834804 26224144
/nird/home/nikolare/hplt/public/two/annotated/cc19/nus_Latn/1.jsonl.zst     970   12765   84058   98332
/nird/home/nikolare/hplt/public/two/annotated/cc19/snd_Arab/1.jsonl.zst   97818 2688696 12776337 22550447
/nird/home/nikolare/hplt/public/two/annotated/cc19/mri_Latn/1.jsonl.zst  132179 1425950 7373265 7599766
/nird/home/nikolare/hplt/public/two/annotated/wide12/sna_Latn/1.jsonl.zst 1297837 11046635 143925418 144491602
/nird/home/nikolare/hplt/public/two/annotated/cc19/gaz_Latn/1.jsonl.zst   91200  733083 6403454 6502263
/nird/home/nikolare/hplt/public/two/annotated/cc19/lin_Latn/1.jsonl.zst  111411  471190 2858588 2948663
/nird/home/nikolare/hplt/public/two/annotated/cc19/ace_Latn/1.jsonl.zst  210245 1552932 19864483 20090413
/nird/home/nikolare/hplt/public/two/annotated/cc19/kbp_Latn/1.jsonl.zst   32835  190879  989456 1112108
/nird/home/nikolare/hplt/public/two/annotated/cc19/war_Latn/1.jsonl.zst   38379  312474 1748990 1792465
/nird/home/nikolare/hplt/public/two/annotated/wide12/lus_Latn/1.jsonl.zst 1557627 11035153 106932516 107349668
/nird/home/nikolare/hplt/public/two/annotated/wide12/ibo_Latn/1.jsonl.zst 1618054 12855657 132690698 136791457
/nird/home/nikolare/hplt/public/two/annotated/cc19/lmo_Latn/1.jsonl.zst  738296 4228876 27552987 28420478
/nird/home/nikolare/hplt/public/two/annotated/cc19/gle_Latn/1.jsonl.zst  502143 5051241 30700970 32180012
/nird/home/nikolare/hplt/public/two/annotated/cc19/sun_Latn/1.jsonl.zst  633744 4014187 27169288 27588938
/nird/home/nikolare/hplt/public/two/annotated/wide12/ewe_Latn/1.jsonl.zst  341922 10682882 141096486 155801620
/nird/home/nikolare/hplt/public/two/annotated/wide12/ban_Latn/1.jsonl.zst 1872198 13342242 150253237 151399552
/nird/home/nikolare/hplt/public/two/annotated/cc19/nso_Latn/1.jsonl.zst   19006  112343  672919  686212
/nird/home/nikolare/hplt/public/two/annotated/cc19/pan_Guru/1.jsonl.zst  329326 7366885 38574380 90176493
/nird/home/nikolare/hplt/public/two/annotated/cc19/sin_Sinh/1.jsonl.zst  358648 7274521 46088974 114082452
/nird/home/nikolare/hplt/public/two/annotated/cc19/pag_Latn/1.jsonl.zst  273313 1491167 8239380 8303741
/nird/home/nikolare/hplt/public/two/annotated/cc19/ydd_Hebr/1.jsonl.zst  130531 2102098 12334102 21224688
/nird/home/nikolare/hplt/public/two/annotated/cc19/pbt_Arab/1.jsonl.zst  142767 3588102 16889824 29563998
/nird/home/nikolare/hplt/public/two/annotated/wide12/hne_Deva/1.jsonl.zst 1712255 4572129 30799239 42767407
/nird/home/nikolare/hplt/public/two/annotated/archivebot/umb_Latn/1.jsonl.zst    6090   89499  536898  539282
/nird/home/nikolare/hplt/public/two/annotated/cc19/ltz_Latn/1.jsonl.zst  814885 4563599 28207734 29000285
/nird/home/nikolare/hplt/public/two/annotated/cc19/kir_Cyrl/1.jsonl.zst  332688 4339709 33000171 59304264
/nird/home/nikolare/hplt/public/two/annotated/cc19/epo_Latn/1.jsonl.zst  574455 8583695 54435128 55734661
/nird/home/nikolare/hplt/public/two/annotated/cc19/bho_Deva/1.jsonl.zst   55707  495287 2604804 6040980
/nird/home/nikolare/hplt/public/two/annotated/wide12/ceb_Latn/1.jsonl.zst 2291421 13070995 110188982 110894424
/nird/home/nikolare/hplt/public/two/annotated/wide12/bug_Latn/1.jsonl.zst 2190096 14354309 157283143 159848834
/nird/home/nikolare/hplt/public/two/annotated/cc19/ayr_Latn/1.jsonl.zst  921888 3874754 21517550 21860570
